E (9 ,129): gee
S (9 ,130): ewe
SW(9 ,130): ego
S (9 ,132): iii
S (9 ,133): ala
E (9 ,135): wee
E (9 ,140): boa
N (9 ,142): ago
SE(9 ,142): add
N (9 ,143): jig
E (9 ,148): bee
W (9 ,151): gee
E (9 ,151): gab
W (9 ,152): age
W (9 ,153): bag
NW(9 ,153): biz
NE(9 ,154): mum
N (9 ,155): hue
E (9 ,155): hop
W (9 ,156): ohm
SW(9 ,156): one
E (9 ,157): pod
SW(9 ,157): pep
SE(9 ,159): dam
SW(9 ,162): pen
SE(9 ,162): paw
SW(9 ,163): gem
SE(9 ,164): buy
SE(9 ,165): wall
W (9 ,167): sow
SW(9 ,170): pig
SE(9 ,170): poi
N (9 ,172): oaf
S (9 ,178): zip
SW(9 ,179): vii
SE(9 ,180): eve
SE(9 ,182): yah
S (9 ,185): vale
S (9 ,186): pee
NE(9 ,187): wow
NW(9 ,190): cot
S (9 ,192): lad
NE(9 ,194): arc
S (9 ,196): pub
E (9 ,197): aft
SE(9 ,197): ado
N (9 ,199): tad
NE(9 ,200): pea
SE(9 ,202): tea
SW(9 ,204): sea
SW(9 ,206): eta
W (9 ,207): mew
E (9 ,212): heat
E (9 ,213): eat
N (9 ,220): hat
N (9 ,220): hate
E (9 ,224): cab
SE(9 ,224): cot
SW(9 ,226): bog
S (9 ,230): grub
NE(9 ,230): gut
NW(9 ,231): oat
N (9 ,232): jet
S (9 ,232): jaw
W (9 ,232): jog
E (9 ,237): law
NE(9 ,238): ami
SW(9 ,238): apt
S (9 ,241): rag
SE(9 ,245): poi
S (9 ,246): nob
NW(9 ,247): nib
SW(10 ,2): owl
W (10 ,3): roe
NW(10 ,3): rho
N (10 ,4): alb
E (10 ,7): end
SE(10 ,9): down
SW(10 ,11): wok
SE(10 ,12): vex
NE(10 ,13): low
S (10 ,26): lug
S (10 ,27): gob
E (10 ,31): how
NE(10 ,33): woo
N (10 ,37): wah
E (10 ,37): wok
W (10 ,38): owl
NW(10 ,38): oaf
S (10 ,40): age
W (10 ,45): job
NE(10 ,46): kola
NW(10 ,50): ail
SE(10 ,57): hid
NE(10 ,61): hoe
SE(10 ,68): egg
SW(10 ,69): fox
SE(10 ,69): foe
SW(10 ,73): ale
NE(10 ,76): sou
N (10 ,78): sou
SE(10 ,78): she
E (10 ,79): but
SE(10 ,79): bub
W (10 ,81): tub
E (10 ,83): run
N (10 ,86): sub
N (10 ,97): for
N (10 ,97): fork
S (10 ,97): foe
NE(10 ,98): cud
NW(10 ,98): coo
NW(10 ,98): coot
SW(10 ,98): cox
NE(10 ,102): lee
S (10 ,110): iii
W (10 ,113): apt
NE(10 ,116): maw
N (10 ,119): ana
W (10 ,119): ado
E (10 ,123): mow
N (10 ,132): iii
S (10 ,133): lam
S (10 ,136): yaw
NE(10 ,136): yea
SW(10 ,140): axe
SE(10 ,141): foe
NW(10 ,153): maw
W (10 ,158): mien
NW(10 ,159): toy
SE(10 ,160): ami
W (10 ,161): eat
E (10 ,166): ape
SE(10 ,166): all
NW(10 ,167): poi
SW(10 ,168): elm
SE(10 ,170): awe
E (10 ,171): oil
S (10 ,174): amp
S (10 ,176): lee
S (10 ,185): ale
NE(10 ,187): zoo
N (10 ,188): loot
E (10 ,191): sat
E (10 ,192): ate
NE(10 ,193): tar
W (10 ,194): eta
SE(10 ,194): ego
W (10 ,195): vet
SW(10 ,205): tam
S (10 ,207): wow
W (10 ,207): wet
SE(10 ,209): ram
S (10 ,211): ham
NW(10 ,213): phi
NW(10 ,215): gay
SW(10 ,219): col
SW(10 ,220): jog
W (10 ,229): cap
SE(10 ,229): cup
S (10 ,230): rub
NE(10 ,230): roe
E (10 ,231): bah
SW(10 ,231): buy
N (10 ,233): hen
S (10 ,233): hank
W (10 ,240): fed
S (10 ,241): ague
SW(10 ,242): ego
W (10 ,243): deaf
NW(11 ,3): non
SE(11 ,4): bib
N (11 ,7): wee
E (11 ,7): wee
SE(11 ,7): woe
S (11 ,9): eke
SE(11 ,10): own
SW(11 ,14): kin
S (11 ,21): pad
N (11 ,22): hex
NW(11 ,23): tea
W (11 ,27): out
SE(11 ,29): doe
E (11 ,30): die
NW(11 ,45): vow
NW(11 ,51): fail
E (11 ,57): iii
W (11 ,59): iii
SE(11 ,60): pay
N (11 ,67): eke
NW(11 ,69): gee
NE(11 ,71): nap
SE(11 ,71): nut
N (11 ,72): law
NE(11 ,72): lam
SW(11 ,72): lee
NW(11 ,74): jaw
NE(11 ,79): huh
N (11 ,84): fur
S (11 ,86): zap
SE(11 ,89): ham
N (11 ,92): fob
NE(11 ,95): ago
NE(11 ,101): glee
W (11 ,103): tag
E (11 ,103): tic
W (11 ,105): cit
NW(11 ,110): irk
E (11 ,120): oft
NW(11 ,120): oar
N (11 ,121): few
W (11 ,121): foe
S (11 ,122): tap
SW(11 ,122): tip
NW(11 ,125): lot
NE(11 ,127): rug
N (11 ,130): ewe
N (11 ,132): iii
SE(11 ,132): imp
N (11 ,133): ala
SE(11 ,133): aye
NE(11 ,134): die
NE(11 ,135): aye
N (11 ,136): aye
SE(11 ,144): dun
W (11 ,146): sad
S (11 ,149): fop
SE(11 ,150): lux
SE(11 ,150): luxe
S (11 ,155): pea
NE(11 ,155): pep
SW(11 ,156): see
N (11 ,157): hip
N (11 ,161): mew
S (11 ,161): met
NW(11 ,161): mad
N (11 ,163): jag
NW(11 ,167): law
W (11 ,169): ugly
NW(11 ,170): kid
SE(11 ,171): web
W (11 ,178): pie
E (11 ,178): ppm
SW(11 ,181): van
NW(11 ,182): eve
NE(11 ,184): hap
NW(11 ,184): hay
S (11 ,185): lea
NE(11 ,185): lew
NE(11 ,191): bay
N (11 ,199): out
SW(11 ,202): awe
S (11 ,203): ami
NE(11 ,204): ate
N (11 ,206): see
N (11 ,210): ani
SW(11 ,212): ami
S (11 ,213): raj
SW(11 ,214): wan
E (11 ,217): boo
NE(11 ,224): gob
NE(11 ,227): jaw
SW(11 ,228): yuh
SW(11 ,236): tip
SE(11 ,239): woe
S (11 ,240): sob
NW(11 ,240): sea
N (11 ,241): gar
NW(11 ,243): jerk
E (11 ,244): tab
N (11 ,246): bon
W (11 ,246): bat
N (11 ,247): inn
SE(12 ,1): gag
SE(12 ,1): gage
E (12 ,4): dim
SW(12 ,4): day
W (12 ,6): mid
NE(12 ,7): led
S (12 ,15): ask
SE(12 ,15): art
E (12 ,22): day
NE(12 ,23): ani
NE(12 ,25): pug
NE(12 ,26): gosh
N (12 ,27): bog
W (12 ,32): quo
W (12 ,32): quod
S (12 ,34): hid
SW(12 ,34): huh
SE(12 ,37): qua
SW(12 ,38): sob
W (12 ,41): few
N (12 ,44): zoo
S (12 ,46): doe
SW(12 ,46): dip
SW(12 ,47): hoc
E (12 ,54): rye
NW(12 ,55): yea
SW(12 ,56): erg
NE(12 ,57): zig
NE(12 ,58): oil
N (12 ,59): dig
W (12 ,59): doze
W (12 ,61): and
NE(12 ,66): gee
S (12 ,70): gear
SE(12 ,70): guy
SE(12 ,77): hop
S (12 ,79): zap
S (12 ,81): boa
NW(12 ,81): bub
NW(12 ,84): buy
E (12 ,85): bah
E (12 ,87): hat
SE(12 ,87): hub
S (12 ,89): tab
E (12 ,89): tau
E (12 ,95): axe
N (12 ,110): iii
E (12 ,112): chi
E (12 ,113): him
SE(12 ,113): hap
NW(12 ,117): zip
SE(12 ,118): bub
N (12 ,119): mean
E (12 ,120): sial
SW(12 ,120): sue
SE(12 ,123): lap
W (12 ,125): oil
S (12 ,129): war
S (12 ,135): nee
N (12 ,136): way
E (12 ,136): woe
NW(12 ,136): wag
W (12 ,137): own
S (12 ,139): amy
E (12 ,139): abase
E (12 ,140): base
S (12 ,142): sari
E (12 ,148): coy
NE(12 ,149): old
S (12 ,153): vee
NE(12 ,156): ohm
SW(12 ,156): oak
W (12 ,157): hoe
E (12 ,159): ape
SW(12 ,159): awe
E (12 ,168): lax
SE(12 ,174): puma
SE(12 ,175): pour
N (12 ,176): eel
E (12 ,179): zap
NE(12 ,181): pea
NW(12 ,183): rev
NE(12 ,188): lot
SW(12 ,188): lac
S (12 ,192): cod
S (12 ,193): wan
SW(12 ,194): wad
S (12 ,196): ova
